기간,행정구역,직업유형,합계,남자,여자
2015 ,성북구,전문가 및 관련종사자,51547 ,26436 ,25111 
2015 ,성북구,사무종사자,41542 ,20868 ,20674 
2015 ,성북구,서비스종사자,22005 ,9672 ,12333 
2015 ,성북구,판매종사자,32935 ,18249 ,14686 
2015 ,성북구,농림어업 숙련 종사자,244 ,187 ,57 
2015 ,성북구,기능원 및 관련기능종사자,22711 ,15515 ,7196 
2015 ,성북구,장치기계조작 및 조립종사자,12261 ,10918 ,1343 
2015 ,성북구,단순노무종사자,20644 ,12112 ,8532 
2015 ,성북구,기타,268 ,248 ,20 
2015 ,강북구,소계,151430 ,85573 ,65857 
2015 ,강북구,관리자,1920 ,1417 ,503 
2015 ,강북구,전문가 및 관련종사자,29202 ,14720 ,14482 
2015 ,강북구,사무종사자,25675 ,12324 ,13351 
2015 ,강북구,서비스종사자,18490 ,7558 ,10932 
2015 ,강북구,판매종사자,25320 ,12993 ,12327 
2015 ,강북구,농림어업 숙련 종사자,179 ,146 ,33 
2015 ,강북구,기능원 및 관련기능종사자,19685 ,14321 ,5364 
2015 ,강북구,장치기계조작 및 조립종사자,11444 ,10281 ,1163 
2015 ,강북구,단순노무종사자,19421 ,11725 ,7696 
2015 ,강북구,기타,94 ,88 ,6 
2015 ,도봉구,소계,158846 ,91827 ,67019 
2015 ,도봉구,관리자,2046 ,1702 ,344 
2015 ,도봉구,전문가 및 관련종사자,34515 ,17410 ,17105 
2015 ,도봉구,사무종사자,31631 ,16406 ,15225 
2015 ,도봉구,서비스종사자,17210 ,7179 ,10031 
2015 ,도봉구,판매종사자,26766 ,14149 ,12617 
2015 ,도봉구,농림어업 숙련 종사자,223 ,143 ,80 
2015 ,도봉구,기능원 및 관련기능종사자,16230 ,12441 ,3789 
2015 ,도봉구,장치기계조작 및 조립종사자,13852 ,12359 ,1493 
2015 ,도봉구,단순노무종사자,16279 ,9952 ,6327 
2015 ,도봉구,기타,94 ,86 ,8 
2015 ,노원구,소계,252322 ,145284 ,107038 
2015 ,노원구,관리자,3882 ,3203 ,679 
2015 ,노원구,전문가 및 관련종사자,66046 ,33249 ,32797 
2015 ,노원구,사무종사자,56480 ,31409 ,25071 
2015 ,노원구,서비스종사자,26348 ,11710 ,14638 
2015 ,노원구,판매종사자,37229 ,19664 ,17565 
2015 ,노원구,농림어업 숙련 종사자,358 ,261 ,97 
2015 ,노원구,기능원 및 관련기능종사자,19176 ,14998 ,4178 
2015 ,노원구,장치기계조작 및 조립종사자,17408 ,15913 ,1495 
2015 ,노원구,단순노무종사자,24806 ,14294 ,10512 
2015 ,노원구,기타,589 ,583 ,6 
2015 ,은평구,소계,228374 ,128894 ,99480 
2015 ,은평구,관리자,3432 ,2685 ,747 
2015 ,은평구,전문가 및 관련종사자,54118 ,27245 ,26873 
2015 ,은평구,사무종사자,48496 ,24802 ,23694 
2015 ,은평구,서비스종사자,26749 ,10581 ,16168 
2015 ,은평구,판매종사자,34488 ,17874 ,16614 
2015 ,은평구,농림어업 숙련 종사자,548 ,352 ,196 
2015 ,은평구,기능원 및 관련기능종사자,20526 ,16524 ,4002 
2015 ,은평구,장치기계조작 및 조립종사자,16027 ,14438 ,1589 
2015 ,은평구,단순노무종사자,23779 ,14189 ,9590 
2015 ,은평구,기타,211 ,204 ,7 
2015 ,서대문구,소계,142557 ,78875 ,63682 
2015 ,서대문구,관리자,2024 ,1605 ,419 
2015 ,서대문구,전문가 및 관련종사자,36422 ,18173 ,18249 
2015 ,서대문구,사무종사자,32710 ,17117 ,15593 
2015 ,서대문구,서비스종사자,17583 ,7308 ,10275 
2015 ,서대문구,판매종사자,20519 ,10820 ,9699 
2015 ,서대문구,농림어업 숙련 종사자,126 ,95 ,31 
2015 ,서대문구,기능원 및 관련기능종사자,10715 ,8504 ,2211 
2015 ,서대문구,장치기계조작 및 조립종사자,8167 ,7241 ,926 
2015 ,서대문구,단순노무종사자,14163 ,7897 ,6266 
2015 ,서대문구,기타,128 ,115 ,13 
2015 ,마포구,소계,187115 ,102186 ,84929 
2015 ,마포구,관리자,3444 ,2647 ,797 
2015 ,마포구,전문가 및 관련종사자,56881 ,29543 ,27338 
2015 ,마포구,사무종사자,45382 ,23037 ,22345 
2015 ,마포구,서비스종사자,20262 ,8533 ,11729 
2015 ,마포구,판매종사자,24623 ,12717 ,11906 
2015 ,마포구,농림어업 숙련 종사자,193 ,96 ,97 
2015 ,마포구,기능원 및 관련기능종사자,11502 ,8804 ,2698 
2015 ,마포구,장치기계조작 및 조립종사자,8592 ,7554 ,1038 
2015 ,마포구,단순노무종사자,16097 ,9134 ,6963 
2015 ,마포구,기타,139 ,121 ,18 
2015 ,양천구,소계,219117 ,127733 ,91384 
2015 ,양천구,관리자,5977 ,4933 ,1044 
2015 ,양천구,전문가 및 관련종사자,61154 ,32733 ,28421 
2015 ,양천구,사무종사자,50847 ,26759 ,24088 
2015 ,양천구,서비스종사자,20979 ,8170 ,12809 
2015 ,양천구,판매종사자,28642 ,16095 ,12547 
2015 ,양천구,농림어업 숙련 종사자,267 ,180 ,87 
2015 ,양천구,기능원 및 관련기능종사자,16281 ,13491 ,2790 
2015 ,양천구,장치기계조작 및 조립종사자,15990 ,14050 ,1940 
2015 ,양천구,단순노무종사자,18641 ,10988 ,7653 
2015 ,양천구,기타,339 ,334 ,5 
2015 ,강서구,소계,280164 ,159043 ,121121 
2015 ,강서구,관리자,7441 ,6090 ,1351 
2015 ,강서구,전문가 및 관련종사자,71563 ,38308 ,33255 
2015 ,강서구,사무종사자,61844 ,31411 ,30433 
2015 ,강서구,서비스종사자,31503 ,11470 ,20033 
2015 ,강서구,판매종사자,38767 ,20384 ,18383 
2015 ,강서구,농림어업 숙련 종사자,504 ,376 ,128 
2015 ,강서구,기능원 및 관련기능종사자,21264 ,17471 ,3793 
2015 ,강서구,장치기계조작 및 조립종사자,19845 ,17494 ,2351 
2015 ,강서구,단순노무종사자,26981 ,15595 ,11386 
2015 ,강서구,기타,452 ,444 ,8 
2015 ,구로구,소계,204936 ,118886 ,86050 
2015 ,구로구,관리자,4053 ,3261 ,792 
2015 ,구로구,전문가 및 관련종사자,53348 ,28865 ,24483 
2015 ,구로구,사무종사자,42695 ,20902 ,21793 
2015 ,구로구,서비스종사자,20730 ,8014 ,12716 
2015 ,구로구,판매종사자,26926 ,14996 ,11930 
